Author Age,Author Comment Karma,Author Link Karma,Avg Comment Brand Count,Avg Comment Sentiment,Title Brands,Title Seniment,Label
449.41807607953194,49567,63552,0.0,-28.38095238095238,1,1,1
653.1282798762068,2481,5551,9.705882352941176,1.8235294117647058,0,0,0
148.44102202835458,360,5534,4184.285714285715,-786.1428571428571,0,0,1
230.854420605702,6282,31463,0.0,-0.23809523809523808,0,0,0
996.3323477798259,49259,173305,0.06896551724137931,-1.7586206896551724,0,1,0
488.2891962246376,20,2639,0.044444444444444446,0.06666666666666667,0,1,0
565.1080765105701,5197,15135,3.6666666666666665,177.8095238095238,1,0,1
603.0277464363945,601,1543,0.0,-3.823529411764706,0,0,0
1231.4869382740887,245733,1776329,60.523809523809526,-5.380952380952381,0,1,1
1403.2502480575442,7280,6566,388.9047619047619,-198.57142857142858,0,-1,1
1989.0972877231322,62026,115259,139.38095238095238,-290.04761904761904,0,0,1
609.1367964514538,3046,25318,114.14285714285714,-186.71428571428572,0,0,1
617.6672150347989,930,5070,1.2156862745098038,0.7843137254901961,0,0,0
2554.8975267521487,371,6579,18.285714285714285,-5.857142857142857,0,0,1
128.54218640715436,-5,376,30.952380952380953,-12.428571428571429,0,0,1
1910.3703836082889,613799,5667104,0.6,-2.085714285714286,0,0,0
2125.1465350493927,130,4062,1.4285714285714286,-15.238095238095237,1,0,1
1596.4334059071402,1181,9128,1777.952380952381,-459.3333333333333,1,0,1
1574.0975919075613,6950,11026,241.14285714285714,169.8095238095238,1,1,1
100.61529242494592,480,6844,0.5882352941176471,-48.05882352941177,1,0,0
2082.149109690297,1555,10485,249.71428571428572,-306.57142857142856,0,0,1
362.124623988475,243,6755,309.57142857142856,216.0952380952381,1,0,1
863.9694035782941,39,2520,0.0,0.16,0,0,0
1264.8454082310145,922240,20615604,272.3333333333333,202.0,1,0,1
2165.6851658336127,4052,11607,0.13725490196078433,8.549019607843137,0,1,0
1094.3195051750567,971,6047,4.476190476190476,34.476190476190474,0,0,1
868.5725135456108,475,67201,28.761904761904763,43.476190476190474,0,0,1
2050.4298481736387,33820,13963,234.23809523809524,22.61904761904762,1,0,1
728.3086472441063,4997,5927,65.76190476190476,-84.38095238095238,2,0,1
418.38527164748973,267,652,-0.3076923076923077,0.0,0,1,0
1334.62085799736,162,28883,0.0,10.450980392156863,0,0,0
478.414330356764,3969,38830,26.952380952380953,0.14285714285714285,1,0,1
287.4927554394967,34058,51772,42.476190476190474,-72.38095238095238,0,-1,1
1495.4104180048544,6821,11284,1.3333333333333333,72.76190476190476,0,1,1
271.79477251231117,18097,1645444,45.666666666666664,-85.38095238095238,1,0,1
763.3729556616369,773,35680,30.19047619047619,-409.6190476190476,0,1,1
1672.417739188133,758,5705,69.19047619047619,-0.6190476190476191,0,0,1
3128.0183936542685,29300,105708,42.523809523809526,64.19047619047619,2,0,1
771.2694772625687,2466,91555,0.0,-0.18181818181818182,0,0,0
2318.9615753138205,7589,12086,19.88235294117647,7.490196078431373,1,0,0
588.504215015264,9626,5318,0.0,1.7843137254901962,0,1,0
419.5727824479921,87,44,0.0,-5.75,0,0,1
1108.9381685282842,5936,22919,19.857142857142858,59.476190476190474,0,0,1
2353.3939288218844,19352,5132,0.0,-1.4444444444444444,0,-1,0
1702.609457987809,552,13178,1.3555555555555556,-0.7333333333333333,0,0,0
2586.4876893196392,551722,444551,23.41176470588235,-23.823529411764707,0,0,0
1977.3129721825514,7109,60745,0.0392156862745098,0.7647058823529411,0,0,0
1583.3244256,5726,7374,8.19047619047619,-20.952380952380953,0,0,1
2180.5672124218636,7862,7274,5.809523809523809,265.8095238095238,0,1,1
241.430052390369,2951,13498,0.5714285714285714,-4.0,1,1,1
625.597165418935,444,6299,41.80952380952381,-7.238095238095238,2,0,1
439.9972055802853,1,4525,0.37254901960784315,-22.254901960784313,0,0,0
475.6499074212379,4277,50421,3396.3333333333335,-1171.6666666666667,2,0,1
201.53248921597722,10193,93696,0.0392156862745098,-8.941176470588236,0,1,0
354.2491877727707,173,3307,0.0196078431372549,1.5686274509803921,0,0,0
2265.0956529326463,10727,29628,456.1904761904762,9.095238095238095,0,-1,1
